Esse é o autocomplete completo da classe Forms.Grid, com base nele, atualize a definição completa da classe.
Note que tem a coluna Suportado Sim/Não, ela indica se conseguimos usar esse membro da classe no projeto, 
se tiver marcado como não, adicione a definição na classe, mas deixe ela marcada para gerar um erro no linter
caso seja usada, pois não teremos suporte à elas ao compilar o projeto.

Cruze os dados com as classes que o grid herda, para não adicionar props que já existem nas classes base

Categoria,Nome,Tipo,Suportado
Property,Name,UnicodeString,Sim
Property,Tag,Integer,Sim
Property,AlignWithMargins,Boolean,Sim
Property,Left,Integer,Sim
Property,Top,Integer,Sim
Property,Width,Integer,Sim
Property,Height,Integer,Sim
Property,Cursor,Integer,Sim
Property,Hint,UnicodeString,Sim
Property,HelpType,THelpType,Sim
Property,HelpKeyword,UnicodeString,Sim
Property,HelpContext,Integer,Sim
Property,Margins,TMargins,Sim
Property,CustomHint,(vazio),Não
Property,ParentCustomHint,Boolean,Sim
Property,TabStop,Boolean,Sim
Property,Align,TAlign,Sim
Property,Anchors,TAnchors,Sim
Property,BevelEdges,TBevelEdges,Sim
Property,BevelInner,TBevelCut,Sim
Property,BevelKind,TBevelKind,Sim
Property,BevelOuter,TBevelCut,Sim
Property,BevelWidth,Integer,Sim
Property,BiDiMode,TBiDiMode,Sim
Property,BorderStyle,TBorderStyle,Sim
Property,Color,Integer,Sim
Property,ColCount,Integer,Sim
Property,Constraints,(vazio),Não
Property,Ctl3D,Boolean,Sim
Property,DefaultColWidth,Integer,Sim
Property,DefaultColAlignment,TAlignment,Sim
Property,DefaultRowHeight,Integer,Sim
Property,DefaultDrawing,Boolean,Sim
Property,DoubleBuffered,Boolean,Sim
Property,DoubleBufferedMode,TDoubleBufferedMode,Sim
Property,DragCursor,Integer,Sim
Property,DragKind,TDragKind,Sim
Property,DragMode,TDragMode,Sim
Property,DrawingStyle,TGridDrawingStyle,Sim
Property,Enabled,Boolean,Sim
Property,FixedColor,Integer,Sim
Property,FixedCols,Integer,Sim
Property,RowCount,Integer,Sim
Property,FixedRows,Integer,Sim
Property,Font,TFont,Sim
Property,GradientEndColor,Integer,Sim
Property,GradientStartColor,Integer,Sim
Property,GridLineWidth,Integer,Sim
Property,Options,TGridOptions,Sim
Property,ParentBiDiMode,Boolean,Sim
Property,ParentColor,Boolean,Sim
Property,ParentCtl3D,Boolean,Sim
Property,ParentDoubleBuffered,Boolean,Sim
Property,ParentFont,Boolean,Sim
Property,ParentShowHint,Boolean,Sim
Property,PopupMenu,(vazio),Não
Property,ScrollBars,TScrollStyle,Sim
Property,ShowHint,Boolean,Sim
Property,TabOrder,Integer,Sim
Property,Touch,(vazio),Não
Property,Visible,Boolean,Sim
Property,StyleElements,TStyleElements,Sim
Property,StyleName,UnicodeString,Sim
Property,VisibleColCount,Integer,Sim
Property,VisibleRowCount,Integer,Sim
Event,OnClick,TNotifyEvent,Sim
Event,OnColumnMoved,TMovedEvent,Sim
Event,OnContextPopup,TContextPopupEvent,Sim
Event,OnDblClick,TNotifyEvent,Sim
Event,OnDragDrop,TDragDropEvent,Sim
Event,OnDragOver,TMethod,Sim
Event,OnDrawCell,TDrawCellEvent,Sim
Event,OnEndDock,TEndDragEvent,Sim
Event,OnEndDrag,TEndDragEvent,Sim
Event,OnEnter,TNotifyEvent,Sim
Event,OnExit,TNotifyEvent,Sim
Event,OnFixedCellClick,TFixedCellClickEvent,Sim
Event,OnGesture,TMethod,Sim
Event,OnGetEditMask,TGetEditEvent,Sim
Event,OnGetEditText,TGetEditEvent,Sim
Event,OnKeyDown,TKeyEvent,Sim
Event,OnKeyPress,TKeyPressEvent,Sim
Event,OnKeyUp,TKeyEvent,Sim
Event,OnMouseActivate,TMethod,Sim
Event,OnMouseDown,TMethod,Sim
Event,OnMouseEnter,TNotifyEvent,Sim
Event,OnMouseLeave,TNotifyEvent,Sim
Event,OnMouseMove,TMouseMoveEvent,Sim
Event,OnMouseUp,TMethod,Sim
Event,OnMouseWheelDown,TMouseWheelUpDownEvent,Sim
Event,OnMouseWheelUp,TMouseWheelUpDownEvent,Sim
Event,OnRowMoved,TMovedEvent,Sim
Event,OnSelectCell,TSelectCellEvent,Sim
Event,OnSetEditText,TSetEditEvent,Sim
Event,OnStartDock,TMethod,Sim
Event,OnStartDrag,TMethod,Sim
Event,OnTopLeftChanged,TNotifyEvent,Sim
Event,OnGetDisplText,TGetDisplTextEvent,Sim
Event,OnGetDisplWideText,TGetDisplWideTextEvent,Sim
Event,OnAutoAdvance,TAutoAdvanceEvent,Sim
Event,OnBeforeFilter,TNotifyEvent,Sim
Event,OnBeforeEdit,TBeforeEditEvent,Sim
Event,OnCustomCellBkgDraw,TCustomCellDrawEvent,Sim
Event,OnCustomCellDraw,TCustomCellDrawEvent,Sim
Event,OnCustomCellSize,TCustomCellSizeEvent,Sim
Event,OnCustomFilter,TCustomFilterEvent,Sim
Event,OnGetCellColor,TGridColorEvent,Sim
Event,OnGetCellCursor,TMethod,Sim
Event,OnGetCellGradient,TMethod,Sim
Event,OnGetCellPrintColor,TGridColorEvent,Sim
Event,OnGetCellPrintBorder,TMethod,Sim
Event,OnGetCellBorder,TMethod,Sim
Event,OnGetCellBorderProp,TGridBorderPropEvent,Sim
